publishingOrgKey,title,lat,long,nSpecimens
98dbab03-09e5-4ceb-988e-04f3e803decb,Senckenberg Museum für Naturkunde Görlitz,51.15370304,14.986883,15
1e26a630-7203-11dc-a0d8-b8a03c50a862,"USDA-ARS Pollinating Insect-Biology, Management, Systematics Research",38.88756,-77.03203,164
e1475b95-d1f7-4f3a-9f3e-e681676abb18,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP), Universidade de São Paulo (USP)",-21.16651,-47.85275,43
b3fbef09-563b-4ee2-96c1-4a449def8992,Staatliches Museum für Naturkunde Karlsruhe,48.8041,9.18933,5
80960f60-ad5e-11da-9c37-b8a03c50a862,Western Foundation of Vertebrate Zoology,34.20795,-119.03944,136
5c1a4c27-795a-4294-aecc-46d7176706b7,Universidad del Valle de Guatemala,14.60474,-90.48915,1
609765e0-4ce8-11db-b80e-b8a03c50a862,Sam Noble Oklahoma Museum of Natural History,35.19445,-97.44919,214
121b1f00-66de-484d-9fb3-32bb07585840,FIOCRUZ - Oswaldo Cruz Foundation,-22.87735519,-43.24358136,14
311e2740-f15a-11d8-b22f-b8a03c50a862,Michigan State University Museum,42.73181,-84.48362,113
247b85e0-4e6b-46d1-b1c8-47b00bb8ced7,Moore Laboratory of Zoology,34.12655,-118.21001,22
4cff2aca-5ce5-4028-88e6-d79b6449173a,Museums Victoria,-37.803,144.974,65
c1da06f0-580e-11dc-8a9e-b8a03c50a862,Carnegie Museums,44.3371,-79.95004,960
a26fb77a-67a4-4a15-b2c3-0c7b87ddb8e6,"California State University, Long Beach",33.78228,-118.11511,12
ff7bd5db-b724-4932-b496-10ea298851f9,Université de Montréal Biodiversity Centre,45.5579,-73.5562,38
5ab24120-de25-11dc-9a41-b8a03c50a862,"Walter Reed Biosystematics Unit, Smithsonian Institution",38.88579546,-77.02138137,554
c361e830-181e-11da-9544-b8a03c50a862,Louisiana State University Museum of Natural Science,30.41537,-91.1801,955
09a9c196-cb5b-4fa1-afc2-3499b868b225,Canadian node of the Ocean Biogeographic Information System (OBIS Canada),44.68269,-63.61354,1
3eeffcbd-0e84-4223-ac65-3d32e7cc8511,Universidad Central de Venezuela,10.48944,-66.89307,48
84d451a0-644d-11de-b910-b8a03c50a862,University of Arizona Museum of Natural History,32.232194,-110.950431,37
927f1e70-cf74-11d8-bf68-b8a03c50a862,University of Minnesota Bell Museum,44.97895,-93.23585,132
9c0a8aa8-4ce7-49ba-aac7-21a97234f886,Angelo State Natural History Collections (ASNHC),31.44138,-100.46273,14
